Port,Currency,Date,Sys,Value,Class
PortA,AUD,20210713 00:00:00,FSC,50000000,C
PortA,AUD,20210713 00:00:00,FSC,400000,C
PortA,CAD,20210713 00:00:00,FSC,138234286.2,C
PortA,CAD,20210713 00:00:00,FSC,492384234,C
PortA,CHF,20210713 00:00:00,FSC,203402,C
PortA,EUR,20210713 00:00:00,FSC,2-35402950,C
PortA,EUR,20210713 00:00:00,FSC,24502394,C
PortA,EUR,20210715 00:00:00,FTC,22342054,C
PortA,EUR,20210727 00:00:00,FTC,2349130942,C
PortA,EUR,20210812 00:00:00,FTC,23489234,C
PortA,GBP,20210713 00:00:00,FSC,83425656,C
PortA,GBP,20210713 00:00:00,FSC,4542445845,C
PortA,GBP,20210812 00:00:00,FTC,54354564,C
PortA,JPY,20210713 00:00:00,FSC,654659,C
PortA,JPY,20210812 00:00:00,FTC,150000,C
PortA,NOK,20210713 00:00:00,FSC,45645,C
PortA,NZD,20210713 00:00:00,FSC,65454,C
PortA,USD,20210713 00:00:00,FSC,-174327.66,C
PortA,USD,20210713 00:00:00,FSC,545465143,C
PortA,USD,20210714 00:00:00,FTC,16875,C
PortA,USD,20210715 00:00:00,FTC,454654,C
PortA,USD,20210716 00:00:00,FTC,4.54534E+11,C
PortA,USD,20210719 00:00:00,FTC,534343,C
PortA,USD,20210723 00:00:00,FTC,101001.25,C
PortA,USD,20210726 00:00:00,FTC,4534,C
PortA,USD,20210727 00:00:00,FTC,544343,C
PortA,USD,20210729 00:00:00,FTC,3535454,C
PortA,USD,20210730 00:00:00,FTC,12116.25,C
PortA,USD,20210806 00:00:00,FTC,45453435,C
PortA,USD,20210810 00:00:00,FTC,18406.25,C
PortA,USD,20210812 00:00:00,FTC,545343543,B
PortB,AUD,20210713 00:00:00,FSC,5590075.26,B
PortB,AUD,20210812 00:00:00,FTC,5453435,B
PortB,SGD,20210713 00:00:00,FSC,43545554,B
PortB,USD,20210713 00:00:00,FSC,5.43543E+11,B
PortB,EUR,20210713 00:00:00,FSC,54545435,B
PortC,AUD,20210713 00:00:00,FSC,543545454,C
PortC,CHF,20210713 00:00:00,FSC,354543545,C
PortC,CNY,20210713 00:00:00,FSC,43543,C
PortC,EUR,20210713 00:00:00,FSC,454545,C
PortC,HKD,20210713 00:00:00,FSC,545454545,C
PortC,PLN,20210713 00:00:00,FSC,11074700,C
PortC,SGD,20210713 00:00:00,FSC,4546464,C
PortC,USD,20210713 00:00:00,FSC,4549895+955+,C
PortC,AUD,20210713 00:00:00,FSC,75174369.02,C
PortC,AUD,20210715 00:00:00,FTC,261361.31,C
PortC,AUD,20210716 00:00:00,FTC,73054.58,C
PortC,AUD,20210719 00:00:00,FTC,4161646,C
PortC,AUD,20210720 00:00:00,FTC,787878787,C
PortC,AUD,20210722 00:00:00,FTC,878787878,C
PortC,AUD,20210723 00:00:00,FTC,3349533.49,C
PortC,AUD,20210728 00:00:00,FTC,8748787,C
PortC,AUD,20210812 00:00:00,FTC,4864848616,C
PortC,USD,20210713 00:00:00,FSC,6,C
PortC,USD,20210713 00:00:00,FSC,44688484,C
PortC,AUD,20210713 00:00:00,FSC,-51367143.13,C
PortC,AUD,20210812 00:00:00,FTC,8,C
PortC,CAD,20210713 00:00:00,FSC,854684848,C
PortC,CAD,20210810 00:00:00,FTC,175972.5,C
PortC,CAD,20210812 00:00:00,FTC,298530,C
PortC,CHF,20210713 00:00:00,FSC,1062.93,C
PortC,DKK,20210713 00:00:00,FSC,1041.94,C
PortC,EUR,20210713 00:00:00,FSC,-711367480,C
PortC,EUR,20210809 00:00:00,FTC,77925,C
PortC,EUR,20210812 00:00:00,FTC,106939.58,C
PortC,GBP,20210713 00:00:00,FSC,-51488217.63,C
PortC,GBP,20210730 00:00:00,FTC,56250,C
PortC,HKD,20210713 00:00:00,FSC,599.34,C
PortC,JPY,20210713 00:00:00,FSC,-17775991002,C
PortC,JPY,20210812 00:00:00,FTC,26122500,C
PortC,NOK,20210713 00:00:00,FSC,715.35,C
PortC,NZD,20210713 00:00:00,FSC,1091.48,C
PortC,SEK,20210713 00:00:00,FSC,1451.63,C
PortC,SGD,20210713 00:00:00,FSC,1166.51,C
PortC,USD,20210713 00:00:00,FSC,1374469992,C
PortC,AUD,20210713 00:00:00,FSC,14977.12,C
PortC,CNY,20210713 00:00:00,FSC,-13575.73,C
PortC,CNY,20210812 00:00:00,FTC,120737.79,C
PortC,EUR,20210713 00:00:00,FSC,997930.16,C
PortC,HKD,20210713 00:00:00,FSC,320462.93,C
PortC,IDR,20210713 00:00:00,FSC,0,C
PortC,IDR,20210805 00:00:00,FTC,263181165,C
PortC,KRW,20210713 00:00:00,FSC,6498878487,C
PortC,KRW,20210719 00:00:00,FTC,36165870,C
PortC,KRW,20210726 00:00:00,FTC,144512924,C
PortC,KRW,20210727 00:00:00,FTC,5655955,C
PortC,KRW,20210802 00:00:00,FTC,12642240,C
PortC,PHP,20210713 00:00:00,FSC,65565,C
PortC,SGD,20210713 00:00:00,FSC,545622326,C
PortC,THB,20210713 00:00:00,FSC,2496266+3,C
PortC,THB,20210809 00:00:00,FTC,48548969,C
PortC,USD,20210713 00:00:00,FSC,5896844989,C
